matches,team,year
77,frc293,2013
56,frc1421,2013
9,frc2404,2015
31,frc4994,2016
22,frc6622,2017
8,frc3212,2016
42,frc703,2006
9,frc1432,2010
34,frc3574,2012
21,frc5659,2015
26,frc2227,2014
11,frc4175,2017
11,frc4150,2017
45,frc308,2011
9,frc4748,2015
9,frc3054,2010
71,frc341,2013
25,frc4716,2013
8,frc3700,2017
9,frc2129,2010
19,frc3410,2016
25,frc457,2012
36,frc2996,2016
55,frc639,2016
10,frc371,2017
24,frc4998,2016
26,frc1597,2006
11,frc3465,2016
18,frc3181,2011
65,frc2619,2010
12,frc1973,2007
17,frc3010,2010
11,frc3262,2010
25,frc1775,2013
70,frc48,2011
13,frc4093,2014
46,frc3656,2012
46,frc1495,2017
29,frc614,2017
11,frc3392,2012
13,frc5510,2016
24,frc6570,2017
34,frc846,2012
10,frc4295,2012
9,frc3752,2012
43,frc3937,2017
9,frc2403,2009
24,frc6208,2016
11,frc3267,2011
28,frc3712,2016
10,frc1962,2006
20,frc2374,2012
19,frc3350,2017
10,frc2585,2008
9,frc1610,2010
10,frc2838,2017
8,frc5882,2017
39,frc3245,2013
12,frc4846,2013
17,frc2230,2008
20,frc675,2012
10,frc6204,2016
10,frc2593,2011
24,frc2090,2008
10,frc2894,2011
14,frc2425,2012
48,frc2135,2016
21,frc6390,2017
24,frc4171,2013
12,frc3075,2015
27,frc5106,2016
10,frc988,2017
23,frc270,2010
26,frc5010,2017
68,frc5448,2016
86,frc2337,2017
21,frc538,2012
11,frc2400,2008
37,frc3055,2015
9,frc5095,2017
7,frc2895,2009
8,frc4225,2016
37,frc571,2005
10,frc3007,2017
28,frc58,2013
24,frc4035,2015
44,frc2410,2010
9,frc5928,2016
10,frc3593,2011
61,frc525,2016
28,frc3586,2016
36,frc330,2009
11,frc3976,2017
2,frc233,2002
7,frc2285,2009
14,frc2630,2012
12,frc1772,2015
10,frc388,2015
11,frc4496,2017
7,frc2250,2009
21,frc1018,2012
31,frc2073B,2014
15,frc1720,2012
10,frc2440,2008
54,frc4587,2013
9,frc459,2006
9,frc4148,2012
24,frc4483,2013
38,frc157,2015
12,frc3497,2014
17,frc2265,2013
22,frc1807,2008
9,frc5720,2015
7,frc3017,2009
30,frc3534,2013
29,frc6530,2017
