District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,
,CA,"Cupertino, CA ",115,,2016,1998,"37.315448,-122.056646",1,,"Fremont Union High School Foundation/Apple/Qualcomm/Intuitive Surgical/Brin-Wojcicki Foundation/Western Digital/Apprion, Inc/Lockheed Martin/EMC2/De Anza College Machine Shop/Pinnacle Manufacturing & Monta Vista High ",,
,VA,"Herndon, VA ",116,"A119, 336",2016,1996,"38.985479,-77.376049",1,,NASA Headquarters & Herndon High ,,
PA-nonMAR,PA,"Pittsburgh, PA ",117,,2016,1998,"40.429501,-79.919389",1,,4moms / The Thorn Family / The Heinz Endowments / FIRST FRC Hardship Grants / KuzElectric inc & Pittsburgh Allderdice Hs ,,
,TX,"League City, TX ",118,A175,2016,1997,"29.522735,-95.076464",1,,NASA-JSC & Clear Creek H S ,,
#N/A,FL,"Satellite Beach, FL",119,"A176,285",1998,1997,"28.37613,-80.698764",1,,NASA Kennedy Space Center/ Delaware North/ DYNACS & USA & Merritt Island HS & Satellite HS,,
,OH,"Cleveland, OH ",120,A81,2016,1995,"41.492499,-81.649655",1,,NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Youth Technology Academy ,,
NE,RI,"Newport, RI ",121,"A113, 78",2016,1996,"41.517875,-71.287138",1,,NDEP/Raytheon/Town of Middletown/Blowfish/Ferreira-Fenton Fund & Middletown High School ,,
,VA,"Hampton, VA ",122,"A177,344,2028",2016,1997,"37.06397,-76.411434",1,,NASA Langley Research Center/New Horizons Regional Education Center/Precision Sheet Metal Fabrication LLC/TE Connectivity Foundation/Fastenal/Rose Precision Machine & Butler Farm Campus ,Homeschool,
MI,MI,"Troy, MI ",123,A178,2016,1997,"42.401519,-83.057439",1,,"GM Detroit Hamtramck Assembly/General Motors Foundation/Ford Motor/Design Systems, Inc/Wayne Metro Community Action Agency /Wayne State University Formula SAE/DADARA/State of Michigan & Hamtramck High School ",,
#N/A,CT,"Waterford, CT ",124,A131,2001,1996,"41.360459,-72.122729",1,,Northeast Utilities/U.S. Coast Guard Academy & New London High School ,,
NE,MA,"Boston, MA ",125,"A13,206,246",2016,1992,"42.338009,-71.092339",1,,Northeastern University / Textron Systems / Sonos Inc. / United Technologies / National Grid / PTC / BAE Systems & Boston Latin & Brookline High & Revere High ,,
NE,MA,"Clinton, MA ",126,A9,2016,1992,"42.409738,-71.703773",1,,Nypro Inc. & Clinton Senior High ,,
#N/A,TX,"Friendswood, TX ",127,,2000,1998,"29.511559,-95.211446",1,,NASA Johnson Space Center/Oceaneering Space Systems & Friendswood High School ,,
,OH,"Columbus, OH ",128,A179,2016,1997,"39.984986,-83.048374",1,,"American Electric Power/Grandview Heights Marble Cliff Education Foundation/Grandview Bobcat Boosters, Inc. & Grandview Heights High School ",,
