"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016nytv","Tech Valley Robot Rumble","nytv",99,"Ballston Spa","NY","USA","2016-11-05","2016-11-05",2016,,,,,,
"2016ohci","Queen City Regional","ohci",0,"Cincinnati","OH","USA","2016-03-30","2016-04-02",2016,,,,,,
"2016ohcl","Buckeye Regional","ohcl",0,"Cleveland","OH","USA","2016-03-16","2016-03-19",2016,,,,,,
"2016ohsc","Ohio FRC State Championship","ohsc",99,"Columbus","OH","USA","2016-05-21","2016-05-21",2016,,,,,,
"2016okok","Oklahoma Regional ","okok",0,"Oklahoma City","OK","USA","2016-03-23","2016-03-26",2016,,,,,,
"2016onnb","North Bay Regional","onnb",0,"North Bay","ON","Canada","2016-03-23","2016-03-26",2016,,,,,,
"2016onsc","STEMley Cup Championship","onsc",99,"Hamilton","ON","Canada","2016-11-12","2016-11-12",2016,,,,,,
"2016onto","Greater Toronto East Regional ","onto",0,"Oshawa","ON","Canada","2016-03-09","2016-03-12",2016,,,,,43.8970929,-78.86579119999999
"2016onto2","Greater Toronto Central Regional","onto2",0,"Toronto","ON","Canada","2016-03-02","2016-03-05",2016,,,,,,
"2016onwa","Waterloo Regional ","onwa",0,"Waterloo","ON","Canada","2016-03-30","2016-04-02",2016,,,,,,
"2016onwi","Windsor Essex Great Lakes Regional","onwi",0,"Windsor","ON","Canada","2016-04-06","2016-04-09",2016,,,,,,
"2016orore","PNW District - Clackamas Academy of Industrial Science Event","orore",1,"Oregon City","OR","USA","2016-03-31","2016-04-02",2016,"Pacific Northwest","2016pnw",2016,"pnw",45.3573429,-122.6067584
"2016orphi","PNW District - Philomath Event","orphi",1,"Philomath","OR","USA","2016-03-24","2016-03-26",2016,"Pacific Northwest","2016pnw",2016,"pnw",44.540121,-123.3676014
"2016orwil","PNW District - Wilsonville Event","orwil",1,"Wilsonville","OR","USA","2016-03-10","2016-03-12",2016,"Pacific Northwest","2016pnw",2016,"pnw",,
"2016paca","Greater Pittsburgh Regional","paca",0,"California","PA","USA","2016-03-09","2016-03-12",2016,,,,,40.0656291,-79.8917139
"2016pagp","girlPOWER","pagp",99,"Flourtown","PA","USA","2016-10-08","2016-10-08",2016,,,,,,
"2016pahat","MAR District - Hatboro-Horsham Event","pahat",1,"Horsham","PA","USA","2016-03-04","2016-03-06",2016,"Mid-Atlantic","2016mar",2016,"mar",40.1784422,-75.1285061
"2016paphi","MAR District - Springside Chestnut Hill Event","paphi",1,"Philadelphia","PA","USA","2016-03-18","2016-03-20",2016,"Mid-Atlantic","2016mar",2016,"mar",,
"2016parr","Ramp Riot","parr",99,"Ambler","PA","USA","2016-11-05","2016-11-05",2016,,,,,,
"2016pawch","MAR District - Westtown Event","pawch",1,"West Chester","PA","USA","2016-04-01","2016-04-03",2016,"Mid-Atlantic","2016mar",2016,"mar",,
"2016pncmp","Pacific Northwest District Championship sponsored by Autodesk","pncmp",2,"Portland","OR","USA","2016-04-06","2016-04-09",2016,"Pacific Northwest","2016pnw",2016,"pnw",45.5230622,-122.6764815
"2016qcmo","FRC Festival de Robotique - Montreal Regional","qcmo",0,"Montreal","QC","Canada","2016-03-30","2016-04-02",2016,,,,,,
"2016ripro","NE District - Rhode Island Event","ripro",1,"Providence","RI","USA","2016-03-24","2016-03-26",2016,"New England","2016ne",2016,"ne",,
"2016rsr","Red Stick Rumble","rsr",99,"Baton Rouge","LA","USA","2016-08-27","2016-08-27",2016,,,,,30.4582829,-91.1403196
"2016scmb","Palmetto Regional","scmb",0,"Myrtle Beach","SC","USA","2016-02-24","2016-02-27",2016,,,,,33.6890603,-78.8866943
"2016tes","Tesla Division","tes",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,38.6270025,-90.19940419999999
"2016tnkn","Smoky Mountains Regional","tnkn",0,"Knoxville","TN","USA","2016-03-30","2016-04-02",2016,,,,,35.9606384,-83.9207392
"2016tnt","TNT Week Zero T&L Field","tnt",100,"Nevis","MN","USA","2016-02-20","2016-02-20",2016,,,,,46.9652363,-94.83945650000001
"2016txda","Dallas Regional","txda",0,"Irving","TX","USA","2016-03-23","2016-03-26",2016,,,,,32.8140177,-96.9488945
"2016txho","Lone Star Regional","txho",0,"Houston","TX","USA","2016-04-06","2016-04-09",2016,,,,,29.7604267,-95.3698028
"2016txlu","Hub City Regional","txlu",0,"Lubbock","TX","USA","2016-03-31","2016-04-03",2016,,,,,33.5778631,-101.8551665
"2016txri","Texas Robotics Invitational","txri",99,"Texas","TX","USA","2016-06-24","2016-06-25",2016,,,,,29.383845,-94.9027002
"2016txrm","The Remix","txrm",99,"The Woodlands","TX","USA","2016-10-22","2016-10-22",2016,,,,,30.1658207,-95.46126249999999
"2016txrr","Texas Robot Roundup: UIL Robotics State Championship","txrr",99,"Texas","TX","USA","2016-07-29","2016-07-30",2016,,,,,29.383845,-94.9027002
"2016txrrr","Rattlin' Robot Rodeo","txrrr",99,"San Antonio","TX","USA","2016-10-01","2016-10-01",2016,,,,,29.4241219,-98.49362819999999
